INFO 2024-10-02 16:26:40,495 autoreload Watching for file changes with StatReloader
DEBUG 2024-10-02 16:26:40,495 autoreload Waiting for apps ready_event.
DEBUG 2024-10-02 16:26:40,562 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2024-10-02 16:26:40,574 autoreload Watching dir /home/sathish/PycharmProjects/InventoryManagementSystem/.venv/lib/python3.10/site-packages/rest_framework/templates with glob **/*.
DEBUG 2024-10-02 16:26:40,574 autoreload Watching dir /home/sathish/PycharmProjects/InventoryManagementSystem/management_system/locale with glob **/*.mo.
DEBUG 2024-10-02 16:26:40,574 autoreload Watching dir /home/sathish/PycharmProjects/InventoryManagementSystem/.venv/lib/python3.10/site-packages/rest_framework/locale with glob **/*.mo.
DEBUG 2024-10-02 16:26:40,574 autoreload Watching dir /home/sathish/PycharmProjects/InventoryManagementSystem/management_system/apiapp/locale with glob **/*.mo.
DEBUG 2024-10-02 16:26:40,574 autoreload Watching dir /home/sathish/PycharmProjects/InventoryManagementSystem/.venv/lib/python3.10/site-packages/rest_framework_simplejwt/locale with glob **/*.mo.
DEBUG 2024-10-02 16:26:40,609 utils (0.000) 
            SELECT name, type FROM sqlite_master
            WHERE type in ('table', 'view') AND NOT name='sqlite_sequence'
            ORDER BY name; args=None; alias=default
DEBUG 2024-10-02 16:26:40,613 utils (0.000) SELECT "django_migrations"."id", "django_migrations"."app", "django_migrations"."name", "django_migrations"."applied" FROM "django_migrations"; args=(); alias=default
DEBUG 2024-10-02 16:26:40,693 autoreload File /usr/lib/python3.10/multiprocessing/context.py first seen with mtime 1726069656.0
DEBUG 2024-10-02 16:26:40,693 autoreload File /home/sathish/PycharmProjects/InventoryManagementSystem/.venv/lib/python3.10/site-packages/asgiref/__init__.py first seen with mtime 1727868564.6195407
DEBUG 2024-10-02 16:26:40,693 autoreload File /usr/lib/python3.10/email/_encoded_words.py first seen with mtime 1726069656.0
DEBUG 2024-10-02 16:26:40,693 autoreload File /snap/pycharm-community/413/plugins/python-ce/helpers/pydev/pydevd_plugins/extensions/types/pydevd_helpers.py first seen with mtime 1726748357.0
DEBUG 2024-10-02 16:26:40,693 autoreload File /usr/lib/python3.10/random.py first seen with mtime 1726069656.0
DEBUG 2024-10-02 16:26:40,693 autoreload File /home/sathish/PycharmProjects/InventoryManagementSystem/.venv/lib/python3.10/site-packages/django/http/response.py first seen with mtime 1727868565.0095072
DEBUG 2024-10-02 16:26:40,693 autoreload File /usr/lib/python3.10/lib-dynload/termios.cpython-310-x86_64-linux-gnu.so first seen with mtime 1726069656.0
DEBUG 2024-10-02 16:26:40,693 autoreload File /usr/lib/python3.10/lib-dynload/_contextvars.cpython-310-x86_64-linux-gnu.so first seen with mtime 1726069656.0
DEBUG 2024-10-02 16:26:40,693 autoreload File /usr/lib/python3.10/json/scanner.py first seen with mtime 1726069656.0
DEBUG 2024-10-02 16:26:40,694 autoreload File /usr/lib/python3.10/csv.py first seen with mtime 1726069656.0
DEBUG 2024-10-02 16:26:40,694 autoreload File /usr/lib/python3.10/ssl.py first seen with mtime 1726069656.0
DEBUG 2024-10-02 16:26:40,694 autoreload File /home/sathish/PycharmProjects/InventoryManagementSystem/.venv/lib/python3.10/site-packages/django/template/loaders/cached.py first seen with mtime 1727868565.012507
DEBUG 2024-10-02 16:26:40,694 autoreload File /home/sathish/PycharmProjects/InventoryManagementSystem/.venv/lib/python3.10/site-packages/django/utils/dateformat.py first seen with mtime 1727868565.0155065
DEBUG 2024-10-02 16:26:40,694 autoreload File /usr/lib/python3.10/_compression.py first seen with mtime 1726069656.0
DEBUG 2024-10-02 16:26:40,694 autoreload File /home/sathish/PycharmProjects/InventoryManagementSystem/.venv/lib/python3.10/site-packages/django/template/__init__.py first seen with mtime 1727868565.010507
DEBUG 2024-10-02 16:26:40,694 autoreload File /usr/lib/python3.10/lib-dynload/_uuid.cpython-310-x86_64-linux-gnu.so first seen with mtime 1726069656.0
DEBUG 2024-10-02 16:26:40,694 autoreload File /home/sathish/PycharmProjects/InventoryManagementSystem/.venv/lib/python3.10/site-packages/django/core/files/storage/mixins.py first seen with mtime 1727868564.9815094
DEBUG 2024-10-02 16:26:40,694 autoreload File /usr/lib/python3.10/unittest/signals.py first seen with mtime 1726069656.0
DEBUG 2024-10-02 16:26:40,694 autoreload File /usr/lib/python3.10/gettext.py first seen with mtime 1726069656.0
DEBUG 2024-10-02 16:26:40,694 autoreload File /usr/lib/python3.10/multiprocessing/__init__.py first seen with mtime 1726069656.0
DEBUG 2024-10-02 16:26:40,694 autoreload File /usr/lib/python3.10/codeop.py first seen with mtime 1726069656.0
DEBUG 2024-10-02 16:26:40,694 autoreload File /home/sathish/PycharmProjects/InventoryManagementSystem/.venv/lib/python3.10/site-packages/setuptools/_distutils/extension.py first seen with mtime 1727868466.1750014
DEBUG 2024-10-02 16:26:40,694 autoreload File /home/sathish/PycharmProjects/InventoryManagementSystem/.venv/lib/python3.10/site-packages/django/core/servers/__init__.py first seen with mtime 1727868564.986509
DEBUG 2024-10-02 16:26:40,694 autoreload File /home/sathish/PycharmProjects/InventoryManagementSystem/.venv/lib/python3.10/site-packages/django/contrib/sessions/exceptions.py first seen with mtime 1727868564.941513
DEBUG 2024-10-02 16:26:40,695 autoreload File /usr/lib/python3.10/importlib/resources.py first seen with mtime 1726069656.0
DEBUG 2024-10-02 16:26:40,695 autoreload File /snap/pycharm-community/413/plugins/python-ce/helpers/pydev/pydevd_plugins/django_debug.py first seen with mtime 1726748357.0
DEBUG 2024-10-02 16:26:40,695 autoreload File /home/sathish/PycharmProjects/InventoryManagementSystem/.venv/lib/python3.10/site-packages/django/contrib/admin/models.py first seen with mtime 1727868564.709533
DEBUG 2024-10-02 16:26:40,695 autoreload File /usr/lib/python3.10/email/mime/__init__.py first seen with mtime 1726069656.0
DEBUG 2024-10-02 16:26:40,695 autoreload File /usr/lib/python3.10/http/client.py first seen with mtime 1726069656.0
DEBUG 2024-10-02 16:26:40,695 autoreload File /usr/lib/python3.10/sqlite3/__init__.py first seen with mtime 1726069656.0
DEBUG 2024-10-02 16:26:40,695 autoreload File /home/sathish/PycharmProjects/InventoryManagementSystem/.venv/lib/python3.10/site-packages/rest_framework/checks.py first seen with mtime 1727868584.0468721
DEBUG 2024-10-02 16:26:40,695 autoreload File /usr/lib/python3.10/opcode.py first seen with mtime 1726069656.0
DEBUG 2024-10-02 16:26:40,695 autoreload File /usr/lib/python3.10/unittest/result.py first seen with mtime 1726069656.0
DEBUG 2024-10-02 16:26:40,695 autoreload File /home/sathish/PycharmProjects/InventoryManagementSystem/.venv/lib/python3.10/site-packages/setuptools/_distutils/config.py first seen with mtime 1727868466.1750014
